Word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,0.296358,255.462920
your,0.301530,246.457090
your,0.306703,247.933630
your,0.311875,242.798490
your,0.317047,237.162128
your,0.322220,238.741540
your,0.327392,238.006223
your,0.332565,235.443131
your,0.337737,233.305891
your,0.342909,232.460189
your,0.348082,237.723779
your,0.353254,240.557638
your,0.358427,242.661556
your,0.363599,241.637774
your,0.368772,238.127007
your,0.373944,231.045022
your,0.379116,227.000896
your,0.384289,227.588536
your,0.389461,225.652781
your,0.394634,222.290336
your,0.399806,220.173933
your,0.404978,217.258995
your,0.410151,214.847349
your,0.415323,217.465175
your,0.420496,218.643988
your,0.425668,221.010129
your,0.430841,215.823619
your,0.436013,215.067372
your,0.441185,215.167414
your,0.446358,214.740940
your,0.451530,215.569236
your,0.456703,221.469672
your,0.461875,215.908913
your,0.467047,222.635179
your,0.472220,217.663812
your,0.477392,220.147847
your,0.482565,224.613896
your,0.487737,220.157235
your,0.492909,219.982266
your,0.498082,219.928298
your,0.503254,219.499066
your,0.508427,214.938917
your,0.513599,213.344760
your,0.518772,211.167071
your,0.523944,210.677014
your,0.529116,210.035433
your,0.534289,218.399385
your,0.539461,217.286645
your,0.544634,215.561238
your,0.549806,218.195623
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,0.611875,246.611578
good,0.617047,246.743397
good,0.622220,247.685966
good,0.627392,250.345685
good,0.632565,251.627074
good,0.637737,252.699167
good,0.642909,252.835937
good,0.648082,253.970139
good,0.653254,256.092395
good,0.658427,257.265392
good,0.663599,258.139056
good,0.668772,259.474015
good,0.673944,261.105424
good,0.679116,263.720792
good,0.684289,265.836378
good,0.689461,268.307488
good,0.694634,271.863574
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,0.715323,271.199646
good,0.720496,265.207517
good,0.725668,265.536805
good,0.730841,271.866982
good,0.736013,273.699678
good,0.741185,272.191984
good,0.746358,268.529855
good,0.751530,266.527292
good,0.756703,266.834605
good,0.761875,267.110637
good,0.767047,266.522672
good,0.772220,263.304384
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,0.886013,251.015975
pants,0.891185,252.815856
pants,0.896358,245.668885
pants,0.901530,244.758125
pants,0.906703,244.806717
pants,0.911875,243.646046
pants,0.917047,242.752137
pants,0.922220,241.282397
pants,0.927392,237.999317
pants,0.932565,232.019206
pants,0.937737,226.054744
pants,0.942909,219.437261
pants,0.948082,216.068015
pants,0.953254,215.504858
pants,0.958427,211.142588
pants,0.963599,208.994563
pants,0.968772,211.374076
pants,0.973944,209.919873
pants,0.979116,209.300308
pants,0.984289,208.379062
pants,0.989461,207.686397
pants,0.994634,207.670128
pants,0.999806,207.522742
pants,1.004978,206.624424
pants,1.010151,205.470750
pants,1.015323,203.424796
pants,1.020496,201.082674
pants,1.025668,199.789742
pants,1.030841,201.085823
pants,1.036013,201.825429
pants,1.041185,201.926043
pants,1.046358,202.731080
pants,1.051530,201.672182
pants,1.056703,200.517722
pants,1.061875,200.871621
pants,1.067047,199.157268
pants,1.072220,202.407225
pants,1.077392,213.179632
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,1.222220,167.372067
look,1.227392,168.186129
look,1.232565,171.620496
look,1.237737,172.670284
look,1.242909,172.884464
look,1.248082,170.883194
look,1.253254,172.141938
look,1.258427,172.913568
look,1.263599,170.360100
look,1.268772,167.038189
look,1.273944,167.417688
look,1.279116,168.204323
look,1.284289,170.580657
look,1.289461,171.211485
look,1.294634,170.360514
look,1.299806,169.898372
look,1.304978,170.314152
look,1.310151,170.594100
look,1.315323,169.026612
look,1.320496,169.012301
look,1.325668,167.784884
look,1.330841,165.083909
look,1.336013,163.882482
look,1.341185,166.982089
look,1.346358,165.698239
look,1.351530,169.458668
look,1.356703,169.955601
look,1.361875,168.760304
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,1.532565,154.645442
great,1.537737,150.687921
great,1.542909,171.727925
great,1.548082,181.980113
great,1.553254,185.149402
great,1.558427,184.486895
great,1.563599,184.845087
great,1.568772,183.750748
great,1.573944,182.230756
great,1.579116,182.487033
great,1.584289,183.155167
great,1.589461,181.464414
great,1.594634,181.015240
great,1.599806,180.494542
great,1.604978,179.510308
great,1.610151,177.828071
great,1.615323,175.354205
great,1.620496,174.549756
great,1.625668,174.311276
great,1.630841,173.033910
great,1.636013,172.365819
great,1.641185,169.382266
great,1.646358,171.287654
great,1.651530,170.347278
great,1.656703,170.179834
great,1.661875,171.131301
great,1.667047,171.031326
great,1.672220,170.331515
great,1.677392,170.019623
great,1.682565,169.379545
great,1.687737,167.678427
great,1.692909,165.482618
great,1.698082,163.213886
great,1.703254,161.384356
great,1.708427,160.067782
great,1.713599,159.628163
great,1.718772,158.036225
great,1.723944,157.156532
great,1.729116,164.101281
great,1.734289,159.034770
great,1.739461,151.119310
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--